episode_key,sequence_id,athlete_name,episode_id,path_signature,step_index,step_hidden_state,step_observed_feature,confidence
48::Рузанов А.О.::4::7,48::Рузанов А.О.,Рузанов А.О.,4,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::1::8,48::Лушников А.О.,Лушников А.О.,1,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::1::8,48::Лушников А.О.,Лушников А.О.,1,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::1::8,48::Лушников А.О.,Лушников А.О.,1,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Лушников А.О.::1::8,48::Лушников А.О.,Лушников А.О.,1,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::2::9,48::Лушников А.О.,Лушников А.О.,2,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::2::9,48::Лушников А.О.,Лушников А.О.,2,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::2::9,48::Лушников А.О.,Лушников А.О.,2,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лушников А.О.::2::9,48::Лушников А.О.,Лушников А.О.,2,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::3::10,48::Лушников А.О.,Лушников А.О.,3,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::3::10,48::Лушников А.О.,Лушников А.О.,3,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::3::10,48::Лушников А.О.,Лушников А.О.,3,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лушников А.О.::3::10,48::Лушников А.О.,Лушников А.О.,3,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::4::11,48::Лушников А.О.,Лушников А.О.,4,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::4::11,48::Лушников А.О.,Лушников А.О.,4,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::4::11,48::Лушников А.О.,Лушников А.О.,4,S1->S2->S3->O0,3,S3,x_s3_vup=5.0000,1.0
48::Лушников А.О.::4::11,48::Лушников А.О.,Лушников А.О.,4,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::5::12,48::Лушников А.О.,Лушников А.О.,5,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::5::12,48::Лушников А.О.,Лушников А.О.,5,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::5::12,48::Лушников А.О.,Лушников А.О.,5,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лушников А.О.::5::12,48::Лушников А.О.,Лушников А.О.,5,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::6::13,48::Лушников А.О.,Лушников А.О.,6,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::6::13,48::Лушников А.О.,Лушников А.О.,6,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::6::13,48::Лушников А.О.,Лушников А.О.,6,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лушников А.О.::6::13,48::Лушников А.О.,Лушников А.О.,6,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::7::14,48::Лушников А.О.,Лушников А.О.,7,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::7::14,48::Лушников А.О.,Лушников А.О.,7,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::7::14,48::Лушников А.О.,Лушников А.О.,7,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лушников А.О.::7::14,48::Лушников А.О.,Лушников А.О.,7,S1->S2->S3->O0,4,O,O0,1.0
48::Лушников А.О.::8::15,48::Лушников А.О.,Лушников А.О.,8,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лушников А.О.::8::15,48::Лушников А.О.,Лушников А.О.,8,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лушников А.О.::8::15,48::Лушников А.О.,Лушников А.О.,8,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
